Product Name,Price (INR),Rating
"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.69kg Laptop","35,990",3.7
"Microsoft 365 Personal | 12-Month Subscription, 1 person | Premium Office apps | 1TB OneDrive cloud storage | Windows/Mac (Email delivery in 2 hours-No CD)","4,099",4.5
"Dell {Smartchoice} G15-5530 Core i5-13450HX| NVIDIA RTX 3050, 6GB (16GB RAM|1TB SSD, FHD|Window 11|MS Office' 21|15.6"" (39.62cm)|Dark Shadow Grey|2.65Kg|Gaming Laptop","77,990",3.9
"Dell Inspiron 3520 Laptop, 12th Gen Intel Core i5-1235U Processor, 8GB, 512GB SSD, 15.6"" (39.62Cms) FHD Display- 3 Side Narrow Border, Win 11 + MSO'21, 2 Tuned Speakers, Black, Thin & Light-1.65Kg","43,990",3.3
"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey","62,990",4.6
"HP Laptop 15s, 12th Gen Intel Core i3, 15.6-inch (39.6 cm), 8GB DDR4, 512GB SSD, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU / FQ5327TU","35,990",4.0
"Acer Chromebook CB315-4H Intel Celeron N4500 (Chrome OS/8 GB RAM/128 GB/WiFi 6) 39.6 cm (15.6"") Full HD, Silver, 1.6 KG, 3 Months Google One AI Premium Plan with Gemini Advanced & 2TB Cloud Storage","15,990",3.4
HP 15s Ryzen 5000 (16GB RAM/512GB SSD/FHD/Windows 11/MS Office 21/Backlit Keyboard/ 15.6” (39.6 cm)/Silver/2.21 KG) eq2305AU/eq2182au Laptop,"42,990",4.0
"Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","32,990",3.6
"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","34,990",4.0
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","20,990",3.3
"Lenovo V14 G3 (2024), Intel Core i5 12th Gen 1235U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office 2021 Pro Plus","41,990",No rating
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A324-45 with 35.56 cm (14"") HD Display, Pure Silver, 1.3 KG","19,990",3.3
"HP Pavilion 16, Enhanced by AI, Intel Core Ultra 7 155U, 16-inch (40.6 cm), WUXGA, 16GB LPDDR5x, 512GB SSD, Intel graphics, 1080p FHD IR camera, Copilot, Backlit KB (Win 11, Silver, 1.77 kg), af0028TU","84,990",3.3
"ASUS TUF Gaming A15, 15.6"" (39.62cm) FHD 16:9 144Hz, AMD Ryzen 7 7435HS, Gaming Laptop (16 DDR5/512GB SSD/NVIDIA GeForce RTX 2050/Windows 11 Home/Graphite Black/2.30 Kg), FA506NFR-HN045W","54,990",4.0
"(Refurbished) Lenovo ThinkPad X270 7th Gen Intel Core i7 Thin & Light HD Laptop (16 GB DDR4 RAM/1 TB SSD/12.5"" (31.8 cm) HD/Windows 11/MS Office/WiFi/BT/Webcam/Intel Graphics)","20,999",No rating
"MSI Cyborg 15, Intel 12th Gen. i5-12450H, 40CM FHD 144Hz Gaming Laptop (8GBx2/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX 2050, GDDR6 4GB/Black/1.98Kg), A12UCX-264IN","52,990",4.3
"(Refurbished) Lenovo ThinkPad T470 7th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM|256 GB SSD|14"" (35.6 cm) HD|Windows 11|WiFi|Bluetooth|Webcam|Intel HD Graphics)","16,299",4.5
"HP Pavilion 14 12th Gen Intel Core i7 16GB SDRAM/1TB SSD 14 inch(35.6cm) FHD,IPS,Micro-Edge Display/Intel Iris Xe Graphics/B&O/Win 11/Backlit KB/FPR/MSO 2021/Natural Silver,14-dv2015TU","76,999",4.1
"HP Pavilion 14 11th Gen Intel Core i7 16GB/1TB SSD 14 inches Laptop, FHD Micro-Edge Anti-Glare Display/Iris X Graphics/Backlit KB/B&O Audio/Fingerprint Reader/Windows 11 Ready/1.41kg, 14-dv0058TU","78,900",4.3
"Dell [Smartchoice]15 Thin & Light Laptop, Intel Core i5-1235U Processor, 8GB, 512GB, 15.6"" (39.62cm) FHD 120Hz 250 nits Display, Intel UHD Graphics Win 11 + MSO'21 + 15 Month McAfee, Titan Grey,1.69kg","48,990",3.5
"Lemorele USB C Hub 5-in-1 HDMI Multi-Port Connector Type C Hub Docking Station with 4K HDMI, 3xUSB A, 100WPD, Compatible with MacBook, iPad, Android Phones, etc. for MacOS, Windows, Linux, Samsung DeX","1,439",4.2
"MSI PRO MP161 E2 15.6 Inch Full HD Portable Monitor - 1920 x 1080 IPS Panel, 60Hz, Eye-Friendly Screen (PC, Laptop, Mobile), Speakers, Enhanced Chassis & Kickstand - Mini-HDMI 2.0b, 2 x USB Type-C","11,999",4.4
"Apple 2024 MacBook Pro Laptop with M4 Max chip with 16‑core CPU and 40‑core GPU: Built for Apple Intelligence, (16.2″) Liquid Retina XDR Display, 48GB Unified Memory, 1TB SSD Storage; Space Black","3,99,900",5.0
"HP Omen Gaming Laptop,14Th Gen Intel Core I7-14650Hx,Windows 11 Home 8Gb RTX 4060 Gpu,16.1-Inch(40.9 Cm),Fhd,IPS,144Hz,300 Nits,16Gb Ddr5,1Tb Ssd,Backlit Kb,B&O(Mso,Black,2.32 Kg),Wf1096Tx/Wf1102Tx","1,33,990",3.2
"HP 15s Ryzen 5 (8GB RAM/512GB SSD/FHD/Windows 11/ MS Office/Numeric Keyboard /15.6""(39.6cm)/Silver/1.69 kg) eq2144AU Laptop","36,762",4.1
"Lenovo 16-inch Value Lite Backpack, Comfortable, Padded Back Panel, Slim and Sleek, Dedicated Laptop Compartment, Padded Shoulder Straps for Optimal Comfort and Ergonomic Support (4X41C94115)",699,4.3
VEBETO Educational Laptop for Kids (1 Year Warranty) Toys w/ Mouse Games 20 Fun Computer Activity Learning Toy for 2 3 4 5 Years Boys Girls Learn Letters Words Mathematics Music Logic Memory Tool,998,4.3
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",699,4.0
"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black",499,4.3
"Tukzer Universal Silicone 15.6” Laptop Keyguard Keyboard Protector, Keyboard Dust Cover, Keyboard Skin 15.6” keyguard (36.5 x 13.5 cm)",149,3.5
"Dell Vostro 3401 Intel i3-1115G4 Laptop, 8GB DDR4, 256GB SSD, 14 Inches(35cm) FHD Display, Integrated Graphics, Windows 10 + MSO, Black (D552190WIN9BE), 1.59Kg","38,195",4.0
American Tourister Valex 28 Ltrs Large Laptop Backpack,"1,299",4.3
"Dell Vostro 3400 14 inches (35cm) FHD Display Laptop (Intel i5-1135G7 / 8GB / 1TB HDD + 256GB SSD/Integrated Graphics/Windows 10 + MSO/Black) D552186WIN9BE, 1.59kg","65,000",4.1
"ASUS VivoBook S S15 (2021) Intel Core i7-1165G7 11th Gen 15.6 inches 8GB/512GB SSD/Office 2019/Windows 10/2GB NVIDIA MX350 Graphics FHD, Thin and Light Business Laptop (Silver/1.8 kg) S532EQ-BQ702TS, Transparent Silver","65,990",3.9
"Lenovo V15 (2021) Intel Core i3 10th Gen 15.6"" FHD Thin and Light Laptop (4GB RAM/ 256GB SSD/Windows 10 Home/Iron Grey/ 1.85 kg), 82C500XXIH","32,890",3.5
"Lenovo Intel IdeaPad 5 Laptop (16GB, Graphite Grey, Windows 10 Home, 1.66Kg)","62,740",4.1
RIONTO Office Laptop Bag for Men Professional Office Bag for Men Durable Laptop Messenger Bags for Men Office Use Hand Bag for Men Laptop Bag 15.6 Inch Laptop Macbook,547,4.6
"MOKOBARA The Briefcase with Adjustable Shoulder Strap Vegan Leather, Water Resistant, Fits Upto 15.6"" Laptops (Unisex, Blue)","5,997",4.3
"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",799,4.3
FUR JADEN 35L Travel Professional Backpack with 15.6 Inch Laptop Compartment I 3 Large Compartments I Organizer Pockets I For Men Women Boys Girls I School and College Bagpack,699,4.2
Impulse EmpowerElite 25L Unisex Water Resistant Travel Laptop Backpack with USB Charging Port/Office Bag/School Bag/College Bag/Business Bag Fits Up to 16 Inch Laptop with 1 Year Warranty (Blue),519,3.8
"Safari Omega Pro 35L Laptop Backpack with Raincover, 3 compartments, bottle holder, organizer, school bag for boys and girls, college bag for women and men, office bag, travel bag, Color- Blue",899,4.0
Tommy Hilfiger Joshua 21 Ltrs Black Laptop Backpack (TH/JOSHUALAP01),"1,727",4.2
"RIONTO Messenger Bag - Laptop Bag for Men, PU Leather Expandable Office Bag for Men | Supports Laptop Upto 15.6 inches (Tan)","1,399",4.5
high power 15.6-inch Laptop Padded Compartment Bags Fashion Rucksack Casual Student School Bags College Bags Office Bags Business Bags Boys Girl Travel Backpack Adjustable Comfortable.,749,3.5
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),459,4.2
Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,512,4.0
Dell G15 5530 Gaming Laptop Unboxing & First Look,N/A,No rating
ASUS Zenbook Pro Duo- Dual Screen Laptops Are The Best,N/A,No rating
"MOCA Soft Neoprene Bag Sleeve Cover For Laptops, Macbook Pro 13 inches(34.2 cm) 13.3/Macbook Air 13 inches(34.2 cm) 13.3/Macbook Pro With Retina (Gray)",255,4.1
Wildcraft New Polyester 28 liters laptop Casual Backpack (BLACK),"1,189",3.8
Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men,599,4.1
Gear Classic 20L Small Faux Leather Water Resistant Anti Theft Laptop Backpack,989,4.4
"McAfee Antivirus 2024 | 1 Device, 3 Year | Antivirus Internet Security Software| Email Delivery",660,4.2
Trajectory Vegan Leather 15.6 Inch Laptop Messenger MacBook Office Bag with 2 Years Warranty and Dual Compartment with Expandable Bottom Used Shoulder and Handbag for Men and Women,"1,499",4.4
"Apple 2024 MacBook Pro Laptop with M4 Max chip with 14‑core CPU and 32‑core GPU: Built for Apple Intelligence, (14.2″) Liquid Retina XDR Display, 36GB Unified Memory, 1TB SSD Storage; Space Black","3,19,900",No rating
"STRIFF 4-in-1 USB Hub USB to USB-A Multiport Adapter, USB Connector with Fast Data Transfer Speed for PC, Laptops, MacBooks (Silver)",299,3.6
"Arctic Hunter Laptop Backpack for Men Women 25L Multi-pocket 15.6"" Laptop Bag Shockproof Water-resistant Polyester Backpack with USB & Type-C Port for Office College Daily Use,Black","3,324",4.7
Dynotrek Tonner Black 11.6 inch Tablet Messenger Sleeve Laptop Case Cover with Detachable Shoulder Strap Dust-proof Sling Side Hand Bag for Men Women,499,4.0
"Dell Inspiron 3535, AMD Ryzen 3 7320U Processor, (8GB RAM/512GB SSD/Window 11/MS Office' 21/15.6""(39.62 cm) FHD Display/15 Month McAfee/Carbon Black/1.67kg Thin & Light Laptop","29,990",3.9
"Dell Inspiron 3530 Laptop, 13th Gen Intel Core i5-1334U Processor, 16GB, 512GB SSD, 15.6""(39.62cm) FHD 120Hz 250 nits, Backlit KB, Windows 11 + Mso'21 & 15 Month McAfee, Silver, Thin & Light- 1.62kg","55,155",3.7
"Dell Inspiron 3535, AMD Ryzen 3 7320U Processor, (8GB RAM/512GB SSD/Window 11/MS Office' 21/15.6""(39.62 cm) FHD Display/15 Month McAfee/Carbon Black/1.67kg Thin & Light Laptop","29,990",3.9
"(Refurbished) HP EliteBook 820 G4 7th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM|256 GB SSD|12.5"" (31.8 cm) HD|Windows 11|MS Office|WiFi|Webcam|Intel HD Graphics)","13,999",3.1
"Lenovo V14 G3 (2024), Intel Core i5 12th Gen 1235U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office 2021 Pro Plus","41,990",No rating
"ASUS Vivobook 14 Thin and Light Laptop, Core i3-1215U 12th Gen, 14"" (35.56 cm) FHD, 60Hz (8GB RAM/512GB SSD/Windows 11/Office 2021/Fingerprint/42WHr /Blue/1.40 kg), X1404ZA-NK321WS","31,990",3.8
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","24,990",4.0
"Lenovo V15 G2 15.6"" FHD Anti-Glare Business Laptop, Intel Celeron N4500, 8GB RAM, 256 SSD, Intel UHD Graphics, HD Camera, HD Audio, Wi-Fi, Bluetooth, Windows 11, Black,","22,990",3.3
"(Refurbished) Lenovo ThinkPad X270 7th Gen Intel Core i7 Thin & Light HD Laptop (16 GB DDR4 RAM/1 TB SSD/12.5"" (31.8 cm) HD/Windows 11/MS Office/WiFi/BT/Webcam/Intel Graphics)","20,999",No rating
"ASUS TUF Gaming A15, Ryzen 7 7435HS, 15.6-inch, FHD 144Hz, Gaming Laptop (16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050/Windows 11/48WHr/Graphite Black/2.3 Kg), FA506NCR-HN054W","65,990",4.0
"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.69kg Laptop","35,990",3.7
"Dell 15 Thin & Light Laptop, Core i5-1235U Processor, 8GB RAM + 512GB SSD, 15.6"" FHD Window 11 + MSO '21, 15 Month McAfee, Spill-Resistant Keyboard, Black, 1.66kg","47,990",3.5
"HONOR MagicBook X16 (2024), 12th Gen Intel Core i5-12450H, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/ Full-Size Numeric Keyboard /1.68Kg), Gray","43,990",3.6
"HP Pavilion 16, Enhanced by AI, Intel Core Ultra 7 155U, 16-inch (40.6 cm), WUXGA, 16GB LPDDR5x, 512GB SSD, Intel graphics, 1080p FHD IR camera, Copilot, Backlit KB (Win 11, Silver, 1.77 kg), af0028TU","84,990",3.3
HP 15s Core i3 12th Gen (8GB RAM/512 GB SSD/FHD/Windows 11/MS Office 21/15.6” (39.6cm)/Silver/1.69kg) fy5006TU Laptop,"35,490",4.1
"Lenovo V14 G3 (2024), Intel Core i3 12th Gen 1215U - (8GB/512GB SSD/Intel Integrated UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office 2021","31,500",5.0
"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.69kg Laptop","35,990",3.7
"HP Victus Gaming Laptop, AMD Ryzen 5 5600H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm), FHD, IPS, 144Hz, 16GB DDR4, 512GB SSD, Backlit KB, B&O, 9ms Response time, Dual Speakers (Blue, 2.37 kg), fb0106AX","59,990",4.2
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15"" (38.1cm) FHD IPS 300 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/MSO 21/1Yr ADP Free/Alexa Built-in/3 mon Game Pass/Grey/1.6Kg), 83EM008GIN","66,190",3.9
"ASUS TUF Gaming A15, 15.6"" (39.62cm) FHD 16:9 144Hz, AMD Ryzen 7 7435HS, Gaming Laptop (16 DDR5/512GB SSD/NVIDIA GeForce RTX 2050/Windows 11 Home/Graphite Black/2.30 Kg), FA506NFR-HN045W","54,990",4.0
"Dell {Smartchoice} G15-5530 Core i5-13450HX| NVIDIA RTX 3050, 6GB (16GB RAM|1TB SSD, FHD|Window 11|MS Office' 21|15.6"" (39.62cm)|Dark Shadow Grey|2.65Kg|Gaming Laptop","77,990",3.9
"Dell 15 Thin & Light Laptop, 12th Generation Intel Core i3-1215U Processor, 8GB DDR4 + 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits Display, Win 11 + MSO'21, 15 Month McAfee, Titan Grey, 1.69kg","36,490",3.8
"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4+512GB SSD/Intel UHD Graphics/15 Inch (38cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Spill Resistant KB/1.69kg","51,990",3.5
"Dell Inspiron 3530 Thin & Light Laptop, 13th Gen Intel Core i3-1305U/8GB/512GB SSD/15.6"" (39.62cm) 120Hz Refresh Rate on a FHD IPS Display/Windows 11 + MSO'21+McAfee 15 Month/Carbon Black/1.62kg","40,149",3.7
